user_id,product_id,event_type,timestamp,weight
1941,60,click,2026-02-17 17:43:51.223938,2
239,289,view,2026-02-23 17:43:51.224061,1
988,417,view,2025-06-30 17:43:51.224141,1
1182,57,view,2025-05-30 17:43:51.224215,1
433,431,view,2025-07-29 17:43:51.224289,1
69,216,view,2026-01-24 17:43:51.224363,1
1473,281,view,2025-09-01 17:43:51.224436,1
1667,49,view,2026-04-21 17:43:51.224508,1
1865,440,view,2026-02-21 17:43:51.224580,1
1809,49,view,2025-12-13 17:43:51.224653,1
1579,57,view,2025-10-27 17:43:51.224724,1
1317,46,view,2025-05-22 17:43:51.224796,1
139,247,view,2025-07-17 17:43:51.224867,1
637,192,view,2026-01-19 17:43:51.224940,1
738,65,add_to_cart,2025-10-01 17:43:51.225029,5
1937,382,view,2026-02-21 17:43:51.225110,1
1807,94,click,2026-02-21 17:43:51.225184,2
698,31,view,2025-06-25 17:43:51.225272,1
1439,32,view,2025-08-29 17:43:51.225344,1
1763,181,view,2025-05-17 17:43:51.225419,1
1482,80,view,2025-06-19 17:43:51.225490,1
1783,473,add_to_cart,2025-07-05 17:43:51.225563,5
1974,310,view,2026-04-06 17:43:51.225633,1
493,331,view,2025-04-27 17:43:51.225703,1
1510,406,view,2025-12-29 17:43:51.225774,1
1819,37,view,2026-03-19 17:43:51.225845,1
644,336,view,2025-09-07 17:43:51.225916,1
147,122,view,2025-11-20 17:43:51.225988,1
662,375,click,2025-11-18 17:43:51.226060,2
449,428,view,2025-06-05 17:43:51.226130,1
1937,168,view,2025-12-07 17:43:51.226202,1
461,459,view,2026-04-21 17:43:51.226272,1
1642,364,view,2025-12-18 17:43:51.226342,1
1194,205,view,2025-10-10 17:43:51.226412,1
1694,500,click,2026-02-28 17:43:51.226514,2
616,342,purchase,2026-01-26 17:43:51.226626,10
770,178,view,2026-03-23 17:43:51.226709,1
1825,462,add_to_cart,2025-08-12 17:43:51.227144,5
384,391,view,2025-10-29 17:43:51.227227,1
1150,494,view,2026-01-06 17:43:51.227320,1
464,275,view,2025-12-10 17:43:51.227391,1
1643,305,view,2025-05-21 17:43:51.227462,1
607,268,view,2025-08-12 17:43:51.227532,1
965,235,view,2025-11-10 17:43:51.227603,1
1795,314,view,2026-02-25 17:43:51.227679,1
657,423,view,2025-06-16 17:43:51.227748,1
557,460,view,2026-03-02 17:43:51.227822,1
1362,171,view,2025-12-31 17:43:51.227893,1
300,160,click,2025-09-03 17:43:51.227962,2
975,325,click,2025-12-28 17:43:51.228033,2
1075,181,view,2026-02-08 17:43:51.228105,1
1711,490,view,2025-07-23 17:43:51.228175,1
129,291,view,2025-10-19 17:43:51.228247,1
479,59,view,2025-12-13 17:43:51.228321,1
1091,293,click,2026-01-24 17:43:51.228393,2
1441,100,click,2025-08-25 17:43:51.228473,2
1806,498,view,2025-10-29 17:43:51.228586,1
387,471,view,2025-07-20 17:43:51.228725,1
1253,171,view,2025-07-15 17:43:51.228839,1
41,122,view,2026-01-25 17:43:51.228915,1
1291,489,view,2025-08-22 17:43:51.228992,1
1085,147,click,2025-12-02 17:43:51.229067,2
44,144,view,2026-02-27 17:43:51.229149,1
1331,358,view,2025-06-02 17:43:51.229293,1
1734,159,click,2026-01-01 17:43:51.229373,2
558,353,view,2025-12-06 17:43:51.229447,1
472,74,view,2026-02-05 17:43:51.229520,1
1411,187,view,2026-01-26 17:43:51.229595,1
1645,480,add_to_cart,2025-08-18 17:43:51.229666,5
1605,120,view,2025-05-31 17:43:51.229738,1
1944,191,view,2025-10-16 17:43:51.229807,1
663,286,view,2026-01-17 17:43:51.229876,1
312,309,view,2025-12-31 17:43:51.229946,1
1661,456,view,2025-12-12 17:43:51.230016,1
930,453,view,2025-10-08 17:43:51.230085,1
1830,482,view,2025-08-06 17:43:51.230154,1
1063,54,click,2025-11-13 17:43:51.230228,2
289,200,click,2025-11-01 17:43:51.230303,2
1527,248,click,2026-02-20 17:43:51.230381,2
799,500,view,2025-06-06 17:43:51.230456,1
1770,329,view,2025-12-29 17:43:51.230527,1
1242,137,view,2026-04-07 17:43:51.230599,1
1496,242,view,2025-09-09 17:43:51.230668,1
481,242,view,2025-12-03 17:43:51.230738,1
898,199,view,2026-04-02 17:43:51.230808,1
1683,89,view,2025-10-02 17:43:51.230876,1
417,416,view,2026-01-28 17:43:51.230945,1
167,384,view,2025-06-29 17:43:51.231015,1
997,9,add_to_cart,2025-07-22 17:43:51.231087,5
1774,20,purchase,2025-09-14 17:43:51.231157,10
326,17,click,2025-10-09 17:43:51.231227,2
350,84,click,2025-06-20 17:43:51.231316,2
1874,154,view,2025-08-02 17:43:51.231392,1
977,223,view,2025-12-23 17:43:51.231465,1
993,411,view,2025-05-16 17:43:51.231534,1
1664,474,click,2026-01-03 17:43:51.231602,2
1891,37,add_to_cart,2025-07-29 17:43:51.231675,5
1035,344,click,2026-02-25 17:43:51.231745,2
166,188,view,2026-04-04 17:43:51.231814,1
1652,468,view,2026-03-21 17:43:51.231882,1
1034,80,view,2025-05-10 17:43:51.231953,1
637,427,add_to_cart,2026-01-16 17:43:51.232022,5
496,275,view,2025-08-01 17:43:51.232090,1
9,457,click,2025-06-26 17:43:51.232160,2
1032,208,view,2026-04-22 17:43:51.232231,1
204,6,add_to_cart,2026-04-18 17:43:51.232303,5
443,80,click,2025-05-20 17:43:51.232374,2
833,339,click,2025-12-08 17:43:51.232445,2
387,25,click,2025-10-22 17:43:51.232547,2
680,467,view,2026-01-18 17:43:51.232619,1
1569,111,view,2025-09-04 17:43:51.232690,1
784,336,click,2025-12-09 17:43:51.232784,2
1870,235,view,2025-05-13 17:43:51.232855,1
1184,38,view,2025-06-19 17:43:51.232926,1
541,144,purchase,2025-05-11 17:43:51.232998,10
345,269,click,2025-08-05 17:43:51.233068,2
268,169,click,2026-03-21 17:43:51.233138,2
377,214,view,2025-09-25 17:43:51.233208,1
946,29,click,2026-01-13 17:43:51.233277,2
1197,17,view,2026-03-08 17:43:51.233361,1
67,197,view,2026-01-19 17:43:51.233434,1
1778,237,click,2025-12-06 17:43:51.233506,2
473,333,click,2025-12-16 17:43:51.233578,2
1253,317,click,2025-09-26 17:43:51.233650,2
1751,374,view,2025-10-04 17:43:51.233724,1
1972,258,click,2025-10-27 17:43:51.233795,2
757,123,view,2025-05-25 17:43:51.233864,1
1672,59,click,2025-07-29 17:43:51.233934,2
260,373,view,2025-12-19 17:43:51.234003,1
41,379,click,2026-02-13 17:43:51.234077,2
69,81,view,2025-08-04 17:43:51.234147,1
89,403,view,2025-06-05 17:43:51.234216,1
266,400,view,2025-05-25 17:43:51.234285,1
1101,288,view,2026-01-03 17:43:51.234355,1
1224,427,view,2026-04-13 17:43:51.234425,1
415,353,add_to_cart,2026-02-05 17:43:51.234494,5
769,471,add_to_cart,2026-02-15 17:43:51.234562,5
1479,228,view,2025-09-03 17:43:51.234631,1
195,349,view,2025-06-11 17:43:51.234702,1
486,296,click,2025-05-28 17:43:51.234778,2
1756,377,view,2025-08-07 17:43:51.234846,1
292,299,add_to_cart,2025-08-31 17:43:51.234915,5
627,365,view,2025-11-10 17:43:51.234984,1
481,84,click,2026-04-18 17:43:51.235054,2
485,78,view,2025-05-19 17:43:51.235125,1
687,54,click,2025-09-24 17:43:51.235195,2
607,223,view,2026-02-05 17:43:51.235264,1
1742,316,click,2025-05-07 17:43:51.235348,2
165,279,view,2025-09-17 17:43:51.235419,1
1986,365,view,2025-06-21 17:43:51.235489,1
1148,19,view,2026-04-01 17:43:51.235558,1
1904,477,view,2025-10-22 17:43:51.235628,1
587,209,add_to_cart,2026-01-06 17:43:51.235698,5
1212,264,view,2025-05-27 17:43:51.235767,1
1480,137,click,2025-05-22 17:43:51.235843,2
607,326,view,2026-01-23 17:43:51.235913,1
1595,403,view,2026-01-01 17:43:51.235982,1
1836,485,view,2025-09-12 17:43:51.236052,1
1656,179,view,2025-07-16 17:43:51.236122,1
884,492,view,2025-06-29 17:43:51.236192,1
961,420,view,2025-12-07 17:43:51.236263,1
1188,233,view,2025-11-04 17:43:51.236333,1
1341,174,view,2026-04-05 17:43:51.236403,1
1094,338,view,2026-04-08 17:43:51.236471,1
1712,456,view,2025-06-28 17:43:51.236539,1
188,57,purchase,2025-07-09 17:43:51.236609,10
1942,55,click,2025-07-28 17:43:51.236679,2
303,87,click,2025-06-06 17:43:51.236750,2
797,48,add_to_cart,2025-11-11 17:43:51.236820,5
1527,202,view,2026-02-11 17:43:51.236889,1
1966,163,view,2025-12-06 17:43:51.236959,1
578,198,view,2025-07-16 17:43:51.237036,1
684,316,view,2026-04-16 17:43:51.237104,1
1710,151,view,2026-01-27 17:43:51.237174,1
1421,253,view,2026-03-21 17:43:51.237244,1
260,234,view,2025-06-19 17:43:51.237323,1
739,284,add_to_cart,2025-06-14 17:43:51.237412,5
1388,471,view,2025-11-30 17:43:51.237481,1
24,453,purchase,2025-05-25 17:43:51.237550,10
1199,332,view,2025-11-15 17:43:51.237617,1
1884,348,view,2025-05-03 17:43:51.237687,1
922,377,view,2025-09-10 17:43:51.237755,1
217,56,view,2026-02-23 17:43:51.237823,1
1916,386,add_to_cart,2025-08-31 17:43:51.237890,5
1131,191,view,2025-09-09 17:43:51.237959,1
1703,71,click,2025-08-21 17:43:51.238026,2
1886,76,add_to_cart,2025-06-10 17:43:51.238094,5
1836,121,view,2025-11-14 17:43:51.238162,1
596,114,click,2025-11-08 17:43:51.238292,2
1013,191,view,2025-09-06 17:43:51.238415,1
1110,62,view,2026-01-08 17:43:51.238564,1
1342,291,view,2025-11-11 17:43:51.238686,1
1579,386,view,2025-09-30 17:43:51.238793,1
1920,256,click,2025-11-30 17:43:51.238902,2
1682,391,add_to_cart,2025-11-05 17:43:51.239012,5
990,298,view,2025-07-26 17:43:51.239115,1
1084,296,view,2025-11-09 17:43:51.239233,1
706,234,view,2025-04-27 17:43:51.239418,1
491,107,view,2025-09-12 17:43:51.239501,1
592,234,click,2025-12-10 17:43:51.239574,2
732,288,view,2025-11-28 17:43:51.239646,1
836,127,view,2025-12-30 17:43:51.239722,1
1288,64,view,2026-03-13 17:43:51.239793,1
1320,3,view,2026-01-03 17:43:51.239862,1
1245,370,view,2026-04-19 17:43:51.239936,1
244,390,view,2026-04-06 17:43:51.240006,1
728,92,view,2025-09-30 17:43:51.240077,1
1526,419,view,2026-01-06 17:43:51.240146,1
1170,367,view,2025-08-25 17:43:51.240217,1
1947,247,view,2025-11-01 17:43:51.240290,1
502,35,click,2025-04-30 17:43:51.240364,2
905,460,add_to_cart,2026-01-16 17:43:51.240440,5
307,339,add_to_cart,2025-10-12 17:43:51.240511,5
243,349,view,2025-09-20 17:43:51.240583,1
604,303,click,2025-10-21 17:43:51.240653,2
1062,139,view,2025-08-09 17:43:51.240724,1
647,1,view,2025-10-04 17:43:51.240794,1
413,26,view,2025-08-31 17:43:51.240865,1
349,244,click,2025-05-07 17:43:51.240937,2
416,374,view,2026-03-03 17:43:51.241007,1
81,36,view,2025-11-19 17:43:51.241077,1
