order_id,user_id,product_id,quantity,total_price,payment_method,order_date
1,36626,4856,1,8.06,PayPal,2023-04-23 16:41:25.566270
2,93777,2778,1,46.34,Apple Pay,2023-04-23 16:41:25.566270
3,82537,4844,1,44.55,PayPal,2023-04-23 16:41:25.566270
4,16872,940,1,82.69,Apple Pay,2023-04-23 16:41:25.566270
5,8578,2675,1,77.56,PayPal,2023-04-23 16:41:25.566270
6,3776,4011,2,162.12,PayPal,2023-04-23 16:41:25.566270
7,60785,3636,2,10.0,Apple Pay,2023-04-23 16:41:25.566270
8,47849,8461,1,35.73,Debit Card,2023-04-23 16:41:25.566270
9,58826,9585,1,44.7,PayPal,2023-04-23 16:41:25.566270
10,74846,4482,1,58.26,Credit Card,2023-04-23 16:41:25.566270
11,8879,3987,2,193.62,PayPal,2023-04-23 16:41:25.566270
12,36089,5098,1,34.61,Debit Card,2023-04-23 16:41:25.566270
13,54205,2196,1,16.03,PayPal,2023-04-23 16:41:25.566270
14,94325,8992,1,7.44,Credit Card,2023-04-23 16:41:25.566270
15,75404,6290,3,292.46999999999997,Apple Pay,2023-04-23 16:41:25.566270
16,6718,2747,2,143.98,Debit Card,2023-04-23 16:41:25.566270
17,80590,3574,4,829.12,Debit Card,2023-04-23 16:41:25.566270
18,95811,5595,1,80.91,Debit Card,2023-04-23 16:41:25.566270
19,46525,6501,1,29.2,PayPal,2023-04-23 16:41:25.566270
20,10621,620,1,16.24,PayPal,2023-04-23 16:41:25.566270
21,83866,1596,1,13.42,Apple Pay,2023-04-23 16:41:25.566270
22,39573,8360,1,13.37,Credit Card,2023-04-23 16:41:25.566270
23,67815,9108,1,72.15,PayPal,2023-04-23 16:41:25.566270
24,87682,1984,2,493.8,Apple Pay,2023-04-24 16:41:25.566270
25,38458,1229,1,242.42,Apple Pay,2023-04-24 16:41:25.566270
26,41229,5087,1,52.05,Credit Card,2023-04-24 16:41:25.566270
27,54650,9538,1,36.45,Debit Card,2023-04-24 16:41:25.566270
28,4110,8331,1,28.2,Credit Card,2023-04-24 16:41:25.566270
29,84600,2609,1,358.08,Debit Card,2023-04-24 16:41:25.566270
30,87684,2225,1,175.15,Apple Pay,2023-04-24 16:41:25.566270
31,52133,5316,1,141.17,Apple Pay,2023-04-24 16:41:25.566270
32,51228,9071,2,147.34,PayPal,2023-04-24 16:41:25.566270
33,55812,5857,1,103.53,Credit Card,2023-04-24 16:41:25.566270
34,73879,1365,2,126.66,PayPal,2023-04-24 16:41:25.566270
