product_id,weight,product_name,category,subcategory,brand,price,rating,stock,launch_date
1133,967,Product_Home & Kitchen_1133,Home & Kitchen,Decor,Brand_J81,205.38,5.0,481,2025-10-04 16:41:25.566270
1359,949,Product_Home & Kitchen_1359,Home & Kitchen,Bedding,Brand_D68,305.58,5.0,451,2025-11-29 16:41:25.566270
6793,941,Product_Automotive_6793,Automotive,Car Care,Brand_K82,21.39,4.3,471,2025-01-14 16:41:25.566270
5302,938,Product_Beauty_5302,Beauty,Fragrance,Brand_X11,70.54,4.1,503,2024-07-15 16:41:25.566270
5449,937,Product_Beauty_5449,Beauty,Haircare,Brand_D77,112.41,4.6,490,2026-04-06 16:41:25.566270
7755,937,Product_Toys_7755,Toys,Building Blocks,Brand_X72,155.05,4.6,502,2024-05-25 16:41:25.566270
5105,929,Product_Automotive_5105,Automotive,Tools,Brand_X60,11.57,4.0,484,2025-04-01 16:41:25.566270
5356,929,Product_Beauty_5356,Beauty,Makeup,Brand_W20,128.21,4.1,544,2025-11-19 16:41:25.566270
8395,920,Product_Sports_8395,Sports,Team Sports,Brand_A89,63.13,5.0,513,2025-10-05 16:41:25.566270
8868,907,Product_Toys_8868,Toys,Building Blocks,Brand_G35,92.5,4.2,504,2024-10-20 16:41:25.566270
5157,901,Product_Books_5157,Books,Fiction,Brand_W46,16.35,4.5,514,2025-04-15 16:41:25.566270
2070,896,Product_Sports_2070,Sports,Fitness,Brand_U91,104.24,4.7,499,2025-03-22 16:41:25.566270
3353,896,Product_Automotive_3353,Automotive,Tools,Brand_X65,296.6,4.8,508,2025-10-14 16:41:25.566270
2351,895,Product_Books_2351,Books,Children,Brand_R62,96.6,4.6,484,2025-08-02 16:41:25.566270
9484,894,Product_Toys_9484,Toys,Building Blocks,Brand_W62,13.41,4.9,487,2025-07-05 16:41:25.566270
2745,893,Product_Clothing_2745,Clothing,Men,Brand_X70,180.0,4.6,515,2025-01-11 16:41:25.566270
7804,893,Product_Home & Kitchen_7804,Home & Kitchen,Furniture,Brand_V38,421.61,4.9,459,2024-08-21 16:41:25.566270
6309,891,Product_Automotive_6309,Automotive,Accessories,Brand_X93,11.26,4.3,525,2024-09-13 16:41:25.566270
3231,890,Product_Books_3231,Books,Comics,Brand_C23,394.37,4.1,518,2024-06-05 16:41:25.566270
10,889,Product_Clothing_10,Clothing,Accessories,Brand_P67,315.21,4.7,514,2025-12-31 16:41:25.566270
7231,888,Product_Books_7231,Books,Fiction,Brand_K70,250.55,4.4,525,2025-07-08 16:41:25.566270
2265,888,Product_Home & Kitchen_2265,Home & Kitchen,Decor,Brand_Y9,51.23,4.5,487,2025-07-08 16:41:25.566270
70,887,Product_Clothing_70,Clothing,Kids,Brand_O16,56.67,4.6,501,2025-11-30 16:41:25.566270
4925,887,Product_Clothing_4925,Clothing,Shoes,Brand_V1,188.94,3.9,507,2025-11-14 16:41:25.566270
9295,886,Product_Toys_9295,Toys,Dolls,Brand_V87,80.24,4.1,496,2026-02-21 16:41:25.566270
6952,883,Product_Toys_6952,Toys,Building Blocks,Brand_B56,12.21,4.2,487,2025-12-14 16:41:25.566270
8939,881,Product_Toys_8939,Toys,Educational,Brand_F68,78.11,4.7,505,2025-12-17 16:41:25.566270
343,879,Product_Sports_343,Sports,Fitness,Brand_W6,55.16,4.4,527,2025-06-30 16:41:25.566270
8613,879,Product_Toys_8613,Toys,Educational,Brand_N61,5.0,4.5,510,2025-01-10 16:41:25.566270
7725,878,Product_Sports_7725,Sports,Team Sports,Brand_R75,47.63,4.7,502,2025-02-14 16:41:25.566270
3698,878,Product_Clothing_3698,Clothing,Shoes,Brand_R72,357.24,4.4,522,2024-12-15 16:41:25.566270
3991,877,Product_Books_3991,Books,Comics,Brand_R97,5.0,5.0,496,2025-03-04 16:41:25.566270
139,877,Product_Books_139,Books,Non-Fiction,Brand_X49,5.0,4.4,479,2026-04-07 16:41:25.566270
7182,876,Product_Electronics_7182,Electronics,Wearables,Brand_A32,158.17,5.0,454,2025-09-30 16:41:25.566270
7691,876,Product_Automotive_7691,Automotive,Motorcycle,Brand_M49,33.95,5.0,494,2026-02-09 16:41:25.566270
620,874,Product_Toys_620,Toys,Educational,Brand_L26,16.24,4.6,528,2025-06-07 16:41:25.566270
4626,873,Product_Books_4626,Books,Children,Brand_U88,113.79,4.8,497,2024-10-14 16:41:25.566270
3933,873,Product_Electronics_3933,Electronics,Audio,Brand_P75,42.71,4.9,501,2026-04-01 16:41:25.566270
3508,873,Product_Beauty_3508,Beauty,Personal Care,Brand_V76,5.0,4.4,473,2024-07-19 16:41:25.566270
1442,873,Product_Sports_1442,Sports,Outdoor,Brand_F65,73.86,4.6,500,2025-08-24 16:41:25.566270
1646,873,Product_Books_1646,Books,Comics,Brand_X39,11.49,4.0,512,2025-05-15 16:41:25.566270
7053,872,Product_Clothing_7053,Clothing,Kids,Brand_I46,16.82,4.7,508,2025-09-14 16:41:25.566270
8107,872,Product_Toys_8107,Toys,Educational,Brand_M15,38.87,4.6,504,2025-07-31 16:41:25.566270
4500,872,Product_Home & Kitchen_4500,Home & Kitchen,Furniture,Brand_K49,124.25,4.6,517,2025-07-20 16:41:25.566270
5488,871,Product_Electronics_5488,Electronics,Laptops,Brand_O8,35.12,4.5,455,2024-09-25 16:41:25.566270
4842,870,Product_Clothing_4842,Clothing,Shoes,Brand_X47,6.0,4.5,533,2025-08-24 16:41:25.566270
3821,869,Product_Home & Kitchen_3821,Home & Kitchen,Appliances,Brand_U2,126.61,4.3,529,2025-10-03 16:41:25.566270
264,869,Product_Books_264,Books,Fiction,Brand_I54,137.69,4.6,508,2025-02-18 16:41:25.566270
5489,869,Product_Electronics_5489,Electronics,Smartphones,Brand_K52,32.09,4.7,483,2024-07-02 16:41:25.566270
3185,869,Product_Toys_3185,Toys,Building Blocks,Brand_O47,92.28,4.8,482,2024-08-11 16:41:25.566270
627,868,Product_Clothing_627,Clothing,Shoes,Brand_K54,8.41,4.6,488,2026-03-06 16:41:25.566270
3521,867,Product_Home & Kitchen_3521,Home & Kitchen,Appliances,Brand_V58,67.84,4.6,481,2025-08-18 16:41:25.566270
601,867,Product_Electronics_601,Electronics,Wearables,Brand_U59,242.87,4.9,481,2025-08-19 16:41:25.566270
16,867,Product_Toys_16,Toys,Educational,Brand_X82,224.19,4.6,508,2024-11-18 16:41:25.566270
2180,866,Product_Home & Kitchen_2180,Home & Kitchen,Cookware,Brand_C25,82.25,4.7,471,2025-10-26 16:41:25.566270
6579,865,Product_Electronics_6579,Electronics,Cameras,Brand_E22,23.45,4.8,494,2025-01-20 16:41:25.566270
1624,863,Product_Home & Kitchen_1624,Home & Kitchen,Appliances,Brand_R94,75.24,4.6,478,2024-10-12 16:41:25.566270
6275,862,Product_Automotive_6275,Automotive,Accessories,Brand_C66,5.0,4.6,451,2024-07-06 16:41:25.566270
6022,862,Product_Automotive_6022,Automotive,Car Care,Brand_B75,22.29,4.4,511,2025-06-08 16:41:25.566270
8360,862,Product_Books_8360,Books,Comics,Brand_A31,13.37,4.4,492,2024-10-18 16:41:25.566270
169,860,Product_Toys_169,Toys,Building Blocks,Brand_K63,5.0,4.1,476,2025-07-14 16:41:25.566270
7227,859,Product_Clothing_7227,Clothing,Shoes,Brand_Y91,61.61,4.7,503,2024-09-17 16:41:25.566270
5982,858,Product_Clothing_5982,Clothing,Accessories,Brand_J91,103.58,4.7,502,2025-12-09 16:41:25.566270
5508,858,Product_Books_5508,Books,Children,Brand_T68,7.76,4.3,506,2024-10-22 16:41:25.566270
8467,858,Product_Books_8467,Books,Comics,Brand_W19,47.32,4.6,494,2026-04-03 16:41:25.566270
8656,856,Product_Automotive_8656,Automotive,Tools,Brand_F59,103.93,4.8,475,2025-06-03 16:41:25.566270
3765,854,Product_Electronics_3765,Electronics,Wearables,Brand_C64,60.14,4.7,527,2025-06-28 16:41:25.566270
7390,853,Product_Automotive_7390,Automotive,Car Care,Brand_Z99,51.56,4.0,488,2025-08-23 16:41:25.566270
5219,852,Product_Books_5219,Books,Comics,Brand_Z79,88.54,4.8,512,2024-06-03 16:41:25.566270
4784,852,Product_Sports_4784,Sports,Fitness,Brand_I4,15.61,4.7,488,2024-07-12 16:41:25.566270
9579,851,Product_Automotive_9579,Automotive,Tools,Brand_P65,28.3,4.4,499,2026-01-16 16:41:25.566270
6091,851,Product_Electronics_6091,Electronics,Smartphones,Brand_K14,73.18,4.7,504,2025-03-29 16:41:25.566270
2526,851,Product_Electronics_2526,Electronics,Smartphones,Brand_U46,7.75,4.7,535,2025-08-11 16:41:25.566270
4161,851,Product_Automotive_4161,Automotive,Motorcycle,Brand_Z52,49.93,4.9,497,2025-02-02 16:41:25.566270
6655,850,Product_Clothing_6655,Clothing,Women,Brand_I38,39.1,4.5,488,2024-10-14 16:41:25.566270
7538,849,Product_Beauty_7538,Beauty,Fragrance,Brand_L42,5.0,4.6,531,2024-05-02 16:41:25.566270
6528,849,Product_Toys_6528,Toys,Dolls,Brand_E42,40.9,4.3,478,2024-11-21 16:41:25.566270
2923,849,Product_Beauty_2923,Beauty,Fragrance,Brand_E87,145.63,4.3,504,2024-07-21 16:41:25.566270
4689,849,Product_Toys_4689,Toys,Action Figures,Brand_Z24,215.02,4.6,486,2025-08-12 16:41:25.566270
5904,848,Product_Toys_5904,Toys,Building Blocks,Brand_C19,21.66,4.2,496,2025-04-28 16:41:25.566270
1888,847,Product_Home & Kitchen_1888,Home & Kitchen,Decor,Brand_C77,22.97,4.6,489,2024-06-16 16:41:25.566270
3925,846,Product_Electronics_3925,Electronics,Smartphones,Brand_N6,16.58,4.7,492,2025-09-17 16:41:25.566270
631,845,Product_Sports_631,Sports,Outdoor,Brand_M36,111.05,4.7,486,2024-05-31 16:41:25.566270
1997,845,Product_Toys_1997,Toys,Dolls,Brand_O76,56.31,4.4,497,2025-12-15 16:41:25.566270
3321,845,Product_Home & Kitchen_3321,Home & Kitchen,Cookware,Brand_Q27,16.76,4.2,516,2024-12-07 16:41:25.566270
1649,845,Product_Electronics_1649,Electronics,Wearables,Brand_L60,35.07,4.5,532,2025-01-08 16:41:25.566270
8050,845,Product_Beauty_8050,Beauty,Personal Care,Brand_A20,183.85,4.2,518,2024-04-25 16:41:25.566270
3078,844,Product_Sports_3078,Sports,Team Sports,Brand_I37,103.32,4.1,542,2025-04-10 16:41:25.566270
6894,844,Product_Clothing_6894,Clothing,Men,Brand_D50,138.1,4.9,488,2024-11-10 16:41:25.566270
4278,842,Product_Sports_4278,Sports,Fitness,Brand_Z92,115.02,5.0,492,2025-12-31 16:41:25.566270
7474,841,Product_Clothing_7474,Clothing,Accessories,Brand_Q44,48.08,4.1,499,2025-07-15 16:41:25.566270
5833,840,Product_Home & Kitchen_5833,Home & Kitchen,Furniture,Brand_B67,249.78,4.7,490,2025-07-02 16:41:25.566270
2635,840,Product_Beauty_2635,Beauty,Fragrance,Brand_E3,10.1,4.6,460,2026-04-05 16:41:25.566270
9225,840,Product_Electronics_9225,Electronics,Smartphones,Brand_X97,151.91,4.4,517,2025-10-02 16:41:25.566270
3916,839,Product_Beauty_3916,Beauty,Personal Care,Brand_M76,59.93,4.6,454,2024-12-24 16:41:25.566270
2192,839,Product_Toys_2192,Toys,Board Games,Brand_N65,43.88,4.7,499,2025-08-23 16:41:25.566270
5324,839,Product_Sports_5324,Sports,Golf,Brand_F41,67.93,3.7,491,2025-01-18 16:41:25.566270
4858,838,Product_Home & Kitchen_4858,Home & Kitchen,Decor,Brand_Y80,61.92,4.8,514,2025-10-08 16:41:25.566270
1923,837,Product_Clothing_1923,Clothing,Accessories,Brand_L93,30.61,4.6,457,2024-05-11 16:41:25.566270
8147,836,Product_Electronics_8147,Electronics,Audio,Brand_P69,63.29,4.7,485,2025-09-27 16:41:25.566270
2601,836,Product_Sports_2601,Sports,Cycling,Brand_U60,79.49,4.9,539,2024-11-08 16:41:25.566270
3713,836,Product_Automotive_3713,Automotive,Motorcycle,Brand_X90,13.68,4.7,528,2025-04-18 16:41:25.566270
6749,836,Product_Clothing_6749,Clothing,Shoes,Brand_P5,74.07,4.9,523,2025-09-24 16:41:25.566270
2655,835,Product_Beauty_2655,Beauty,Personal Care,Brand_F62,110.52,5.0,502,2025-01-25 16:41:25.566270
9417,834,Product_Sports_9417,Sports,Team Sports,Brand_G57,14.97,4.6,517,2024-12-16 16:41:25.566270
9665,834,Product_Toys_9665,Toys,Action Figures,Brand_K30,42.41,4.9,490,2025-01-08 16:41:25.566270
4800,834,Product_Sports_4800,Sports,Cycling,Brand_V94,20.81,4.8,493,2025-01-28 16:41:25.566270
8951,833,Product_Beauty_8951,Beauty,Haircare,Brand_Y19,145.31,4.5,521,2024-12-31 16:41:25.566270
4396,833,Product_Sports_4396,Sports,Cycling,Brand_V91,147.36,4.7,475,2025-01-09 16:41:25.566270
2711,833,Product_Beauty_2711,Beauty,Makeup,Brand_A54,64.42,4.7,445,2024-10-29 16:41:25.566270
2937,833,Product_Sports_2937,Sports,Fitness,Brand_B75,25.36,4.5,505,2024-11-12 16:41:25.566270
2018,833,Product_Electronics_2018,Electronics,Wearables,Brand_B69,5.0,4.9,509,2024-06-09 16:41:25.566270
2642,832,Product_Clothing_2642,Clothing,Men,Brand_T2,263.4,4.8,501,2024-10-07 16:41:25.566270
914,832,Product_Sports_914,Sports,Outdoor,Brand_O79,27.74,4.9,491,2025-04-07 16:41:25.566270
8914,832,Product_Toys_8914,Toys,Board Games,Brand_R95,131.75,5.0,525,2025-11-22 16:41:25.566270
8966,832,Product_Toys_8966,Toys,Board Games,Brand_H88,75.15,4.8,524,2025-07-21 16:41:25.566270
921,832,Product_Clothing_921,Clothing,Women,Brand_P81,5.0,4.8,481,2024-07-30 16:41:25.566270
8927,832,Product_Home & Kitchen_8927,Home & Kitchen,Bedding,Brand_O83,148.1,4.6,502,2024-11-04 16:41:25.566270
8190,832,Product_Beauty_8190,Beauty,Makeup,Brand_C14,90.88,4.4,500,2026-02-24 16:41:25.566270
4529,831,Product_Toys_4529,Toys,Educational,Brand_E89,113.89,5.0,497,2025-08-21 16:41:25.566270
3636,831,Product_Clothing_3636,Clothing,Women,Brand_K73,5.0,4.8,478,2025-06-30 16:41:25.566270
8402,830,Product_Toys_8402,Toys,Dolls,Brand_X61,23.02,4.4,492,2025-02-20 16:41:25.566270
3530,829,Product_Toys_3530,Toys,Building Blocks,Brand_H96,73.67,4.8,450,2025-11-08 16:41:25.566270
8841,828,Product_Toys_8841,Toys,Educational,Brand_C31,301.41,4.6,539,2025-01-13 16:41:25.566270
217,828,Product_Books_217,Books,Educational,Brand_P62,13.03,4.2,473,2025-09-12 16:41:25.566270
1501,828,Product_Automotive_1501,Automotive,Tools,Brand_K35,15.86,4.8,499,2025-02-25 16:41:25.566270
9404,828,Product_Automotive_9404,Automotive,Motorcycle,Brand_L16,48.53,4.9,489,2025-03-20 16:41:25.566270
4184,828,Product_Automotive_4184,Automotive,Tools,Brand_A92,37.54,4.8,493,2025-12-04 16:41:25.566270
3223,827,Product_Toys_3223,Toys,Educational,Brand_Q25,251.61,5.0,479,2024-07-03 16:41:25.566270
1039,827,Product_Electronics_1039,Electronics,Audio,Brand_A16,29.43,4.7,486,2025-11-08 16:41:25.566270
4524,827,Product_Clothing_4524,Clothing,Accessories,Brand_L56,190.6,4.3,469,2026-02-15 16:41:25.566270
256,827,Product_Electronics_256,Electronics,Audio,Brand_B1,9.9,4.4,514,2025-05-10 16:41:25.566270
6410,826,Product_Automotive_6410,Automotive,Accessories,Brand_I91,144.03,4.4,453,2025-12-27 16:41:25.566270
5535,826,Product_Clothing_5535,Clothing,Men,Brand_W75,7.89,4.4,500,2024-09-18 16:41:25.566270
2368,826,Product_Toys_2368,Toys,Building Blocks,Brand_B85,12.85,4.7,508,2026-04-22 16:41:25.566270
6287,826,Product_Clothing_6287,Clothing,Women,Brand_M2,96.4,4.5,509,2024-12-10 16:41:25.566270
4405,825,Product_Toys_4405,Toys,Action Figures,Brand_P63,65.71,4.8,495,2025-04-06 16:41:25.566270
7558,825,Product_Home & Kitchen_7558,Home & Kitchen,Decor,Brand_Q10,170.25,4.5,516,2026-02-08 16:41:25.566270
7324,825,Product_Clothing_7324,Clothing,Shoes,Brand_M41,70.65,4.4,485,2025-09-25 16:41:25.566270
4372,825,Product_Automotive_4372,Automotive,Parts,Brand_M3,52.45,4.6,482,2024-12-30 16:41:25.566270
1210,824,Product_Home & Kitchen_1210,Home & Kitchen,Appliances,Brand_W67,60.39,4.8,480,2024-05-29 16:41:25.566270
1907,824,Product_Sports_1907,Sports,Cycling,Brand_A68,15.37,4.8,475,2025-02-18 16:41:25.566270
6344,824,Product_Electronics_6344,Electronics,Cameras,Brand_F10,137.34,4.4,506,2025-02-24 16:41:25.566270
9010,823,Product_Toys_9010,Toys,Dolls,Brand_B75,18.79,5.0,492,2026-03-13 16:41:25.566270
2910,821,Product_Toys_2910,Toys,Educational,Brand_P16,179.41,4.5,498,2025-08-28 16:41:25.566270
9331,821,Product_Clothing_9331,Clothing,Men,Brand_V29,131.0,5.0,509,2025-10-30 16:41:25.566270
3816,819,Product_Books_3816,Books,Non-Fiction,Brand_S30,40.09,4.8,507,2025-01-29 16:41:25.566270
6755,819,Product_Clothing_6755,Clothing,Men,Brand_T82,10.49,4.4,494,2026-01-18 16:41:25.566270
4900,819,Product_Toys_4900,Toys,Board Games,Brand_N80,5.0,4.5,492,2024-11-01 16:41:25.566270
5445,818,Product_Automotive_5445,Automotive,Parts,Brand_I7,84.85,4.5,519,2025-06-01 16:41:25.566270
5307,818,Product_Books_5307,Books,Non-Fiction,Brand_A83,302.02,4.6,536,2024-08-25 16:41:25.566270
1813,818,Product_Books_1813,Books,Children,Brand_Q5,243.55,4.8,508,2025-11-03 16:41:25.566270
424,818,Product_Electronics_424,Electronics,Audio,Brand_R16,6.15,4.5,454,2025-11-24 16:41:25.566270
9714,818,Product_Clothing_9714,Clothing,Men,Brand_U53,40.92,5.0,538,2025-01-24 16:41:25.566270
1317,817,Product_Automotive_1317,Automotive,Parts,Brand_C7,162.91,4.0,490,2026-04-09 16:41:25.566270
9203,817,Product_Sports_9203,Sports,Team Sports,Brand_G90,145.2,4.8,495,2024-09-05 16:41:25.566270
4352,817,Product_Books_4352,Books,Non-Fiction,Brand_P21,299.61,4.8,491,2025-04-13 16:41:25.566270
557,817,Product_Books_557,Books,Educational,Brand_S21,76.9,5.0,458,2026-03-15 16:41:25.566270
4162,816,Product_Automotive_4162,Automotive,Car Care,Brand_Q54,97.98,4.8,482,2025-01-07 16:41:25.566270
3901,816,Product_Sports_3901,Sports,Fitness,Brand_H88,216.0,4.8,513,2025-11-01 16:41:25.566270
4853,816,Product_Home & Kitchen_4853,Home & Kitchen,Appliances,Brand_Q62,70.45,4.3,505,2025-01-06 16:41:25.566270
9348,815,Product_Automotive_9348,Automotive,Tools,Brand_F3,44.15,4.6,480,2025-10-21 16:41:25.566270
2826,815,Product_Books_2826,Books,Comics,Brand_O26,164.49,4.2,497,2025-02-25 16:41:25.566270
2932,815,Product_Clothing_2932,Clothing,Accessories,Brand_M50,39.23,4.9,508,2024-09-14 16:41:25.566270
6136,815,Product_Automotive_6136,Automotive,Accessories,Brand_R96,256.4,4.9,535,2024-08-19 16:41:25.566270
8518,815,Product_Clothing_8518,Clothing,Accessories,Brand_O79,64.91,4.9,530,2024-10-27 16:41:25.566270
4958,815,Product_Clothing_4958,Clothing,Shoes,Brand_Z61,59.47,4.5,501,2026-03-09 16:41:25.566270
4453,814,Product_Automotive_4453,Automotive,Car Care,Brand_R45,41.39,4.7,420,2025-04-30 16:41:25.566270
1159,814,Product_Books_1159,Books,Children,Brand_Q44,168.95,4.9,472,2024-08-22 16:41:25.566270
